日期及型号,评论
2024年12月20日 · 【DP直连】标准版,“XREAL One”、“新品/ 新上市”、“天生 3DoF”、“三档电致变色”、“自研芯片”关注一段时间了，一直想要个苹果眼镜得平替，这不 1/10 价格得到了，而且还很便捷！开始此产品前期产品还要带手机一样转换 BP 设备，就不太想要，但此芯片一出，抱有犹豫试试态度到手后，真得很赞！以后可以便携显示器不说，还可以当墨镜，做家务做饭拖地啥的包括以后出去玩月底出眼镜摄像头配件，妥妥第一人称视角，搭配苹果手机空间视频 YYDS！值得推荐拥有！国产遥遥领先，毕竟长期佩戴都没问题(¯▽¯)�
2025年1月20日 · 【DP直连】标准版,“XREAL One”、“新品/ 新上市”、“天生 3DoF”、“三档电致变色”、“自研芯片”关注一段时间了，一直想要个苹果眼镜得平替，这不 1/10 价格得到了，而且还很便捷！开始此产品前期产品还要带手机一样转换 BP 设备，就不太想要，但此芯片一出，抱有犹豫试试态度到手后，真得很赞！以后可以便携显示器不说，还可以当墨镜，做家务做饭拖地啥的包括以后出去玩月底出眼镜摄像头配件，妥妥第一人称视角，搭配苹果手机空间视频 YYDS！值得推荐拥有！国产遥遥领先，毕竟长期佩戴都没问题(¯▽¯)�
2024年12月24日 · 【DP直连】标准版,xreal忠实用户了，看到这次新品上市，依旧果断下单，对比pro及ultra，本次X1自研芯片的的加持，的确带来了更为良好的使用体验，原生3dof及0dof云台模式，使得产品在脱离beam pro的场景下依旧有非常好的观影体验。除此之外，本代与bose的合作调音，使得产品音质也有明显提升。结合两周的个人使用体验，美中不足的是，此次新的镜腿结构略显生硬，个人感觉延展性不如ultra，不知是否为个例，但产品整体使用感受还是不错的，期待明年的xreal one pro在画面上能有令人惊艳的提升！
2024年12月17日 · 【DP直连】标准版,对于我来说，功能什么的绝对够用，我认为是摸鱼小助手和看片神器，亮度绝对够用，自己出差比较多，用了绝对是拯救颈椎的神器，在车上再也不用为了颈椎举着手机看了。电变色的话稍微有点鸡肋，因为现在是冬天，室内比较暗，像我一般都会开灯办公，电变色到极致情况下，还是会有点透光，可能对于我来说，有个罩子会更舒服一点吧。这是我本人的第一款AR眼镜，买之前也对比了很多家，总体来说还是一次比较舒服的购物体验。有个小问题，因为本人不戴眼镜，带上以后摸鱼还是有点明显的。另外因为我用的电脑接口较少，目前还是很少连电脑的，期待下一步体验。
2024年12月14日 · 【DP直连】标准版,一代nreal air用户，看到这代one几乎解决了一代的所有痛点果断置换入手 和我预期完全一致，3dof大大提升实用性，且云台和固定模式画面输出没任何延迟！外接mac甚至比内建屏延迟还低。。。 色准 音质 fov较一代质的飞跃。 对了，出厂的固件有黑屏小bug，去国外的官网更新固件后完美解决。 非让我挑毛病，首先就是手机连接不能黑屏，还有就是通透模式如果镜片能再通透点就完美了。 感觉在xreal one之前的ar眼镜都是beta版，这代one是真正的正式版，强烈推荐哈哈哈哈，几年内应该都不会有one这么大的提升了
2024年12月14日 · 【DP直连】标准版,一直有看到过关于xreal的视频，还是很好奇的，外观相对来说比较低调，适配i人。这次正好赶上首发，购入体验了一下，第一感觉3dof很舒服，不知道是不是因此眼镜拥有了云台防抖，再加上3档电致变色，直接多出一块大屏。之前看到其它ar眼镜必须要多带个配件才能拥有3dof，感觉这次首发购入很舒服，早买早体验了。重量对我来说没有那么明显，还是能够佩戴挺久的，只不过对近视不太友好，还需要多配一副镜片，我的镜片还没到，只能是每次使用都配合隐形眼镜了，算是个小缺点吧。眼镜散热也不错，属于在皮肤碰不到的地方偷偷热，不会额外增加负担。
2024年12月22日 · 【DP直连】标准版,之前一直在关注AR眼镜系列产品，也陆续尝试了多家的不同AR眼镜产品。但发现没有三DOF悬停和画面自动调节功能的AR眼镜，还是在实际使用中具有很大的缺陷，因此一直没有入手。  直到这次Xreal One发布，属实是将AR眼镜的最后一块拼图给拼上了，自带3DOF和画面调节功能，再也不用额外佩戴一个终端，大大提高了眼镜的实用性，同时自持瞳距调节，以前四角边缘观看劳累的问题也得到了有效解决，可以说AR眼镜的实用性往前迈进了一大步，果断下单不犹豫～  希望后续能优化软件功能，将Beam的空间交互功能也能下放到眼镜本体，期待更多升级！
2024年12月20日 · 【DP直连】标准版,从air 2 pro 开始就一直关注Xreal的AR眼镜，到后面的beam配件，想着这套搭配起来确实体验够不错，但是总觉得使用起来不够优雅，特别是接掌机的时候。想着等以后科技树够高，这玩意能集成进眼镜了再买。万万没想到，这也来的太快了点� 到手开箱时，看到眼镜足够小巧，超出了我的预期。长时间佩戴也不会感觉有什么负担，特别是用来观影，配合3DOF和电致变色功能，简单好用。 每中不足就是OTA必须要通过电脑进行，没法通过iPad 这类设备。另外，瞳距调节如果能增加个引导，告诉你调节到什么样的显示效果，才是最适合自己的，那就完美了。
2024年12月13日 · 【非DP设备推荐】Beam Pro256G套装,这款新买的AR眼镜给我带来了超棒的体验。它外观时尚轻便，镜框线条流畅且颜色选择丰富。画面质量非常高，超高的清晰度和鲜艳*真的色彩让观影与游戏充满视觉享受，再加上高分辨率和低延迟技术保证图像流畅不晕，而且镜片的防蓝光功能可减轻眼疲劳。佩戴起来也很舒适，重量轻巧，鼻托和镜腿符合人体工学，长时间戴也没有压迫感。操作上很灵敏，操作超便捷。它的应用场景相当广泛，不管是娱乐领域看电影、玩游戏，还是在学习、工作中的远程会议、虚拟教学等都能用，集多功能于一身实在是一款高品质又超级实用的产品，非常值得入手，大家也可以尝试下这种新奇又好用的数码产品。
2024年12月19日 · 【DP直连】标准版,入手 XREAL One 差不多一周，整体体验还可以。画面清晰度基本达到预期。佩戴起来感觉就像稍微厚点的墨镜，压迫感很小。这一代的 3 自由度空间定位，在稳定性方面终于达到能实用的程度了，悬停模式用了就回不去了。然而，经过一周的实测，在悬停模式下时不时会出现左右漂移的情况，经常需要进行校准，不清楚是硬件问题还是算法问题，希望官方能够查找一下漏洞。然后，小窗模式实在太小，显得有些鸡肋，期望能推出一个新的模式，让虚拟屏幕定位在上方且能够左右跟随移动，这样就不必缩小画面大小了。最后呢，希望你们能继续深耕空间屏，尽快推出原生 6 自由度空间定位。
2025年1月6日 · 【DP直连】标准版,眼镜的质感很好 上手也不重 佩戴起来没有很违和  拿到手就忍不住把玩了很久 视频的效果很好！仿佛置身于电影院，显示效果不错，亮度高，清晰，声音也清晰。 下面说一点小问题，带的时间长了会感觉眼睛上方有点热，应该是元器件的位置，但是影响不大。时间长了后，还是有一点压鼻子，大概半小时后会有一点感觉，但是还可以接受。 还有一个问题，不知是手机问题还是适配问题，华为mate50PRO，看着看着会断联，有时候要重新点击连接，有时候是数据线异常，还有时候连接了还一直在跳动，得插拔一下，稳定性有待提高，希望后续软件升级可以解决。 总的来说还是非常满意的体验！
2024年12月15日 · Beam Pro 256G套装,我第一次入智能眼镜，看了几家店后来还是选择了:XREAL 这家品牌，开始买了：XREAL Air 2 Ultra  6DoF 空间悬停全功能AR眼镜，买后由看首发新品就换了：XREAL One 全新智能AR眼镜 ar眼镜+BeamPro256G套装，这款为因有他们自研空间计算芯片，支持直连3DoF+三档电致变色也是很方便的A R眼镜，是目前市面唯一有X1自硏开发空间计算芯片的品牌，非常值得购买的智眼镜之一，体验了几天感觉很好，我感觉还是要配他们播放终端：XREAL Beam Pro AR空间计算，厂家非常用心的，最后谢谢你们带给我的第一次体验。
2025年6月28日 · 【边充边玩】标准版+Hub套装,最闹心的一次电子产品购买体验。到手后发现云台模式切换悬停模式时整个画面会逆时针偏转一下，与客服沟通后成功换货。结果换来的机子开机正常，使用两小时开始发热之后再次出现严重画面漂移及上述问题，与客服沟通后送往北京售后维修。6月25北京来电，说更新最新固件可以解决这一问题，将眼镜寄还于我。结果是画面漂移及旋转问题仍不能解决，联系淘宝客服，对方改称他们没发现我提的问题。至此已超出7天无理由退换时限，退货退款被拒绝，我只能拿着这个残次品用下去了。客服态度一直很好，两边沟通也很流畅，就是这个产品实在有问题。如果哪一天真的固件更新把问题解决了我会再来追评的。
